,Código do SINAPI,Descrição Básica,Unidade de Cálculo,Unidade de Comercialização,Normas Técnicas,Imagem,Informações Gerais,Referencial / Parâmetro de Pesquisa,Atualizado em,Obs,pagina,Arquivo
10,412,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM ",UN ,UN ,MIL- S-23190E; ASTM-D 4066; ASTM-D 789 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira convencional fabricada em Nylon 6.6, cor preta ou natural, medidas aproximadascomprimento 230mm, largura 7,6mm e diâmetro de amarração 55mm. São utilizadas em instalações convencionais de painéis e na montagem de quadros de comando. Em substituição a outros meios de amarração as abraçadeiras são amplamente utilizadas pela contrução civil e pela indústria, em especial no segmento eletro-eletrônico e automobilístico. ", SEAL PLASTIC; HELLERMANN TYTON; ELETROMAR ,24/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",13,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
11,414,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 100 X 2,5 MM ",UN ,UN ,MIL- S-23190E; ASTM-D 4066; ASTM-D 789 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira convencional fabricada em Nylon 6.6, cor preta ou natural, medidas aproximadascomprimento 100mm, largura 2,5mm e diâmetro de amarração 22mm. São utilizadas em instalações convencionais de painéis e na montagem de quadros de comando. Em substituição a outros meios de amarração as abraçadeiras são amplamente utilizadas pela contrução civil e pela indústria, em especial no segmento eletro-eletrônico e automobilístico. ", SEAL PLASTIC; HELLERMANN TYTON; ELETROMAR ,24/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",14,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
12,410,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM ",UN ,UN ,MIL- S-23190E; ASTM-D 4066; ASTM-D 789 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira convencional fabricada em Nylon 6.6, cor preta ou natural, medidas aproximadascomprimento 150mm, largura 3,6mm e diâmetro de amarração 35mm. São utilizadas em instalações convencionais de painéis e na montagem de quadros de comando. Em substituição a outros meios de amarração as abraçadeiras são amplamente utilizadas pela contrução civil e pela indústria, em especial no segmento eletro-eletrônico e automobilístico. ", SEAL PLASTIC; HELLERMANN TYTON; ELETROMAR ,24/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",15,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
13,411,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 200 X *4,6* MM ",UN ,UN ,MIL- S-23190E; ASTM-D 4066; ASTM-D 789 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira convencional fabricada em Nylon 6.6, cor preta ou natural, medidas aproximadascomprimento 200mm, largura 4,6mm e diâmetro de amarração 50mm. São utilizadas em instalações convencionais de painéis e na montagem de quadros de comando. Em substituição a outros meios de amarração as abraçadeiras são amplamente utilizadas pela contrução civil e pela indústria, em especial no segmento eletro-eletrônico e automobilístico. ", SEAL PLASTIC; HELLERMANN TYTON; ELETROMAR ,24/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",16,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
14,408,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM ",UN ,UN ,MIL- S-23190E; ASTM-D 4066; ASTM-D 789 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira convencional fabricada em Nylon 6.6, cor preta ou natural, medidas aproximadascomprimento 390mm, largura 4,6mm e diâmetro de amarração 110mm. São utilizadas em instalações convencionais de painéis e na montagem de quadros de comando. Em substituição a outros meios de amarração as abraçadeiras são amplamente utilizadas pela contrução civil e pela indústria, em especial no segmento eletro-eletrônico e automobilístico. ", SEAL PLASTIC; HELLERMANN TYTON; ELETROMAR ,24/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",17,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
15,39131,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E CUNHA DE FIXACAO ",UN ,UN ,NBR 6323:2007; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira Tipo D de 1 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). ", AIÉDEM PERFIS; INCA; MAXTIL; STRINGUETO; TRAMONTINA ,10/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",18,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
16,394,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E PARAFUSO DE FIXACAO ",UN ,UN ,NBR 6323:2007; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira Tipo D de 1 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. ", AIÉDEM PERFIS; INCA; MAXTIL; STRINGUETO; TRAMONTINA ,10/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",19,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
17,39130,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E CUNHA DE FIXACAO ",UN ,UN ,NBR 6323:2007; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira Tipo D de 1 1/4"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). ", AIÉDEM PERFIS; INCA; MAXTIL; STRINGUETO; TRAMONTINA ,10/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",20,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
18,395,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E PARAFUSO DE FIXACAO ",UN ,UN ,NBR 6323:2007; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira Tipo D de 1 1/4"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. ", AIÉDEM PERFIS; INCA; MAXTIL; STRINGUETO; TRAMONTINA ,10/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",21,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
19,39129,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E CUNHA DE FIXACAO ",UN ,UN ,NBR 6323:2007; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira Tipo D de 1"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). ", AIÉDEM PERFIS; INCA; MAXTIL; STRINGUETO; TRAMONTINA ,10/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",22,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
20,393,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E PARAFUSO DE FIXACAO ",UN ,UN ,NBR 6323:2007; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira Tipo D de 1"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. ", AIÉDEM PERFIS; INCA; MAXTIL; STRINGUETO; TRAMONTINA ,10/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",23,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
21,39127,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E CUNHA DE FIXACAO ",UN ,UN ,NBR 6323:2007; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira Tipo D de 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). ", AIÉDEM PERFIS; INCA; MAXTIL; STRINGUETO; TRAMONTINA ,10/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",24,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
22,392,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E PARAFUSO DE FIXACAO ",UN ,UN ,NBR 6323:2007; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira Tipo D de 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. ", AIÉDEM PERFIS; INCA; MAXTIL; STRINGUETO; TRAMONTINA ,10/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",25,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
23,39133,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E CUNHA DE FIXACAO ",UN ,UN ,NBR 6323:2007; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira Tipo D de 2 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). ", AIÉDEM PERFIS; INCA; MAXTIL; STRINGUETO; TRAMONTINA ,10/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",26,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
24,397,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E PARAFUSO DE FIXACAO ",UN ,UN ,NBR 6323:2007; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira Tipo D de 2 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. ", AIÉDEM PERFIS; MAXTIL; STRINGUETO; TRAMONTINA ,10/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",27,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
25,39132,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E CUNHA DE FIXACAO ",UN ,UN ,NBR 6323:2007; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira Tipo D de 2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). ", AIÉDEM PERFIS; INCA; MAXTIL; STRINGUETO; TRAMONTINA ,10/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",28,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
26,396,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E PARAFUSO DE FIXACAO ",UN ,UN ,NBR 6323:2007; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira Tipo D de 2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. ", AIÉDEM PERFIS; INCA; MAXTIL; STRINGUETO; TRAMONTINA ,10/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",29,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
27,39135,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3 1/2"" E CUNHA DE FIXACAO ",UN ,UN ,NBR 6323:2007; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira Tipo D de 3 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). ", AIÉDEM PERFIS; INCA; MAXTIL; STRINGUETO; TRAMONTINA ,10/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",30,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
28,39134,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E CUNHA DE FIXACAO ",UN ,UN ,NBR 6323:2007; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abraçadeira Tipo D de 3"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). ", AIÉDEM PERFIS; INCA; MAXTIL; STRINGUETO; TRAMONTINA ,10/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",31,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
