,Unnamed: 0.1,Código do SINAPI,Descrição Básica,Unidade de Cálculo,Normas Técnicas,Imagem,Informações Gerais,Atualizado em,Obs,pagina,Arquivo
10,10.0,39130,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E CUNHA DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 1 1/4"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",13,10_2021 - FichaInsumo\Arquivos A a G.pdf
11,11.0,395,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E PARAFUSO DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 1 1/4"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",14,10_2021 - FichaInsumo\Arquivos A a G.pdf
12,12.0,39129,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E CUNHA DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 1"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",15,10_2021 - FichaInsumo\Arquivos A a G.pdf
13,13.0,393,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E PARAFUSO DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 1"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",16,10_2021 - FichaInsumo\Arquivos A a G.pdf
14,14.0,39127,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E CUNHA DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",17,10_2021 - FichaInsumo\Arquivos A a G.pdf
15,15.0,392,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E PARAFUSO DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",18,10_2021 - FichaInsumo\Arquivos A a G.pdf
16,16.0,39133,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E CUNHA DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 2 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",19,10_2021 - FichaInsumo\Arquivos A a G.pdf
17,17.0,397,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E PARAFUSO DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 2 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",20,10_2021 - FichaInsumo\Arquivos A a G.pdf
18,18.0,39132,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E CUNHA DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",21,10_2021 - FichaInsumo\Arquivos A a G.pdf
19,19.0,396,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E PARAFUSO DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",22,10_2021 - FichaInsumo\Arquivos A a G.pdf
20,20.0,39135,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3 1/2"" E CUNHA DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 3 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",23,10_2021 - FichaInsumo\Arquivos A a G.pdf
21,21.0,39134,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E CUNHA DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 3"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",24,10_2021 - FichaInsumo\Arquivos A a G.pdf
22,22.0,398,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E PARAFUSO DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 3"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",25,10_2021 - FichaInsumo\Arquivos A a G.pdf
23,23.0,39128,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E CUNHA DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 3/4"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",26,10_2021 - FichaInsumo\Arquivos A a G.pdf
24,24.0,400,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E PARAFUSO DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 3/4"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",27,10_2021 - FichaInsumo\Arquivos A a G.pdf
25,25.0,39125,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/8"" E PARAFUSO DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 3/8"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",28,10_2021 - FichaInsumo\Arquivos A a G.pdf
26,26.0,39126,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E CUNHA DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 4"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",29,10_2021 - FichaInsumo\Arquivos A a G.pdf
27,27.0,399,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E PARAFUSO DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 4"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",30,10_2021 - FichaInsumo\Arquivos A a G.pdf
28,28.0,39158,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO ECONOMICA (GOTA), COM 8"" ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo Econômica (Gota) com diâmetro de 8"" para fixação de instalações elétricas e hidráulicas. Fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Não inclui os parafusos e hastes de fixação. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",31,10_2021 - FichaInsumo\Arquivos A a G.pdf
29,29.0,39141,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/2"" ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo U simples de 1 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",32,10_2021 - FichaInsumo\Arquivos A a G.pdf
30,30.0,39140,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/4"" ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo U simples de 1 1/4"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",33,10_2021 - FichaInsumo\Arquivos A a G.pdf
31,31.0,39139,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1"" ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo U simples de 1"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). . Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",34,10_2021 - FichaInsumo\Arquivos A a G.pdf
32,32.0,39137,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1/2"" ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo U simples de 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",35,10_2021 - FichaInsumo\Arquivos A a G.pdf
33,33.0,39143,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2 1/2"" ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo U simples de 2 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",36,10_2021 - FichaInsumo\Arquivos A a G.pdf
34,34.0,39142,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2"" ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo U simples de 2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",37,10_2021 - FichaInsumo\Arquivos A a G.pdf
35,35.0,39144,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3"" ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo U simples de 3"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",38,10_2021 - FichaInsumo\Arquivos A a G.pdf
36,36.0,39138,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/4"" ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo U simples de 3/4"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",39,10_2021 - FichaInsumo\Arquivos A a G.pdf
37,37.0,39136,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/8"" ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo U simples de 3/8"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",40,10_2021 - FichaInsumo\Arquivos A a G.pdf
38,38.0,39145,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 4"" ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo U simples de 4"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",41,10_2021 - FichaInsumo\Arquivos A a G.pdf
