,CODIGO  ,DESCRICAO DO INSUMO,UNIDADE DE MEDIDA,ORIGEM DO PRECO,PRECO MEDIANO R$
10,21130,"!EM PROCESSO DESATIVACAO! ELETRODUTO EM ACO GALVANIZADO ELETROLITICO, SEMI-PESADO, DIAMETRO 1 1/2"", PAREDE DE 1,20 MM                                                                                                                                                                                                                                                                                                                                                                                     ",M     ,AS,"33,49"
11,21135,"!EM PROCESSO DESATIVACAO! ELETRODUTO EM ACO GALVANIZADO ELETROLITICO, SEMI-PESADO, DIAMETRO 1 1/4"", PAREDE DE 1,20 MM                                                                                                                                                                                                                                                                                                                                                                                     ",M     ,AS,"32,97"
12,38605,ABERTURA PARA ENCAIXE DE CUBA OU LAVATORIO EM BANCADA DE MARMORE/ GRANITO OU OUTRO TIPO DE PEDRA NATURAL                                                                                                                                                                                                                                                                                                                                                                                                  ,UN    ,CR,"153,70"
13,11270,"ABRACADEIRA DE LATAO PARA FIXACAO DE CABO PARA-RAIO, DIMENSOES 32 X 24 X 24 MM                                                                                                                                                                                                                                                                                                                                                                                                                            ",UN    ,CR,"3,10"
14,412,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                             ",UN    ,CR,"1,02"
15,414,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 100 X 2,5 MM                                                                                                                                                                                                                                                                                                                                                                                                                                 ",UN    ,CR,"0,06"
16,410,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,CR,"0,15"
17,411,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 200 X *4,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,C ,"0,20"
18,408,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,CR,"0,99"
19,39131,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"1,71"
20,394,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"1,74"
21,39130,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"1,56"
22,395,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"1,67"
23,39127,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                     ",UN    ,CR,"0,82"
24,392,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"0,84"
25,39129,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"0,96"
26,393,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,C ,"1,01"
27,39133,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"2,25"
28,397,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"2,49"
29,39132,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"1,80"
30,396,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,CR,"1,93"
31,39135,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"3,61"
32,39128,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                     ",UN    ,CR,"0,90"
33,400,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"0,88"
34,39125,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/8"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"0,90"
35,39134,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"3,00"
36,398,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,CR,"2,77"
37,39126,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"4,06"
38,399,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,CR,"3,57"
39,39158,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO ECONOMICA (GOTA), COM 8""                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"9,60"
40,39141,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                              ",UN    ,CR,"0,69"
41,39140,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/4""                                                                                                                                                                                                                                                                                                                                                                                                                              ",UN    ,CR,"0,63"
42,39137,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"0,36"
43,39139,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1""                                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"0,52"
44,39143,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                              ",UN    ,CR,"1,43"
45,39142,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2""                                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"1,03"
46,39138,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/4""                                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"0,38"
47,39136,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/8""                                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"0,25"
48,39144,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3""                                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"1,67"
49,39145,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 4""                                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"2,76"
50,12615,"ABRACADEIRA PVC, PARA CALHA PLUVIAL, DIAMETRO ENTRE 80 E 100 MM, PARA DRENAGEM PREDIAL                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,AS,"4,93"
51,11927,"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA  FITA *12,6 A *14 MM, D = 2"" A 2 1/2""                                                                                                                                                                                                                                                                                                                                                                                             ",UN    ,CR,"9,27"
52,11928,"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA  FITA *12,6 A *14 MM, D = 3"" A 3 3/4""                                                                                                                                                                                                                                                                                                                                                                                             ",UN    ,CR,"10,63"
53,11929,"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA  FITA *12,6 A *14 MM, D = 4"" A 4 3/4""                                                                                                                                                                                                                                                                                                                                                                                             ",UN    ,CR,"16,44"
54,36801,"ACABAMENTO CROMADO PARA REGISTRO PEQUENO, DE PAREDE, 1/2 "" OU 3/4 ""                                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"32,99"
55,36246,"ACABAMENTO SIMPLES/CONVENCIONAL PARA FORRO PVC, TIPO ""U"" OU ""C"", COR BRANCA, COMPRIMENTO 6 M                                                                                                                                                                                                                                                                                                                                                                                                              ",M     ,AS,"4,75"
56,37600,"ACESSORIO DE LIGACAO NAO ELETRICO PARA CARGAS EXPLOSIVAS, TUBO DE 6 M                                                                                                                                                                                                                                                                                                                                                                                                                                     ",UN    ,AS,"114,61"
57,37599,"ACESSORIO INICIADOR NAO ELETRICO, TUBO DE 6 M, TEMPO DE RETARDO DE *160* MS                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,AS,"106,68"
58,1,ACETILENO (RECARGA PARA CILINDRO DE CONJUNTO OXICORTE GRANDE)                                                                                                                                                                                                                                                                                                                                                                                                                                             ,KG    ,C ,"54,00"
59,3,"ACIDO CLORIDRICO / ACIDO MURIATICO, DILUICAO 10% A 12% PARA USO EM LIMPEZA                                                                                                                                                                                                                                                                                                                                                                                                                                ",L     ,CR,"11,76"
60,43054,"ACO CA-25, 10,0 MM, OU 12,5 MM, OU 16,0 MM, OU 20,0 MM, OU 25,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                             ",KG    ,CR,"11,56"
61,42402,"ACO CA-25, 16,0 MM, BARRA DE TRANSFERENCIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",KG    ,CR,"11,05"
62,42403,"ACO CA-25, 20,0 MM, BARRA DE TRANSFERENCIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",KG    ,CR,"14,17"
63,42404,"ACO CA-25, 25,0 MM, BARRA DE TRANSFERENCIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",KG    ,CR,"14,09"
64,42405,"ACO CA-25, 32,0 MM, BARRA DE TRANSFERENCIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",KG    ,CR,"15,01"
65,34341,"ACO CA-25, 32,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",KG    ,CR,"13,03"
66,43053,"ACO CA-25, 6,3 MM OU 8,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",KG    ,CR,"10,33"
67,43058,"ACO CA-50, 10,0 MM, OU 12,5 MM, OU 16,0 MM, OU 20,0 MM, DOBRADO E CORTADO                                                                                                                                                                                                                                                                                                                                                                                                                                 ",KG    ,CR,"10,71"
68,34,"ACO CA-50, 10,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",KG    ,CR,"10,76"
69,43055,"ACO CA-50, 12,5 MM OU 16,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",KG    ,C ,"9,32"
70,43056,"ACO CA-50, 20,0 MM OU 25,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",KG    ,CR,"10,75"
71,43057,"ACO CA-50, 32,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",KG    ,CR,"11,81"
72,34449,"ACO CA-50, 6,3 MM, DOBRADO E CORTADO                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",KG    ,CR,"12,62"
73,32,"ACO CA-50, 6,3 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",KG    ,CR,"11,35"
74,33,"ACO CA-50, 8,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",KG    ,CR,"11,42"
75,43061,"ACO CA-60, 4,2 MM OU 5,0 MM, DOBRADO E CORTADO                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",KG    ,CR,"10,67"
76,43059,"ACO CA-60, 4,2 MM, OU 5,0 MM, OU 6,0 MM, OU 7,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                             ",KG    ,CR,"10,18"
77,43062,"ACO CA-60, 6,0 MM OU 7,0 MM, DOBRADO E CORTADO                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",KG    ,CR,"11,28"
78,43060,"ACO CA-60, 8,0 MM OU 9,5 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",KG    ,CR,"8,87"
79,20063,"ACOPLAMENTO DE CONDUTOR PLUVIAL, EM PVC, DIAMETRO ENTRE 80 E 100 MM, PARA DRENAGEM PREDIAL                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,AS,"4,90"
80,40410,"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 50 MM (2"")                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,AS,"31,27"
81,40411,"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 65 MM (2 1/2"")                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,AS,"33,93"
82,40412,"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 80 MM (3"")                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,AS,"38,09"
83,38838,"ADAPTADOR DE COBRE PARA TUBULACAO PEX, DN 16 X 15 MM                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",UN    ,AS,"10,85"
84,38839,"ADAPTADOR DE COBRE PARA TUBULACAO PEX, DN 20 X 22 MM                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",UN    ,AS,"12,78"
85,55,"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 1/2"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,AS,"4,50"
86,61,"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 3/4"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,AS,"4,25"
